MPN,Quantity,Vendor_Price1,Vendor_Price2,Vendor_Price3
THT-75-427-3,1,Allied Electronics & Automation: 387.99,Master Electronics: 387.99,Digi-Key: 515.25
IP-R4302,1,Allied Electronics & Automation: 129.99,Master Electronics: 129.99,Digi-Key: 151.24
USB2C5C2M,1,Newark: 28.87,Digi-Key: 31.07,Allied Electronics & Automation: 31.38
MS27467T17B35S,12,TTI: 122.63,Newark: 129.43,Mouser: 138.66
M85049/49-2-16W,12,TTI: 9.8,Mouser: 12.25,Digi-Key: 12.283
nan,2,,,
nan,1,,,
nan,1,,,
PFSWHTR16,6,,,
nan,1,,,
nan,1,,,
nan,2,,,
